brand,category,product_name,material,secondary_price_usd,discount,demand_indicator,source,date_captured,notes
Cartier,Jewelry,Panthère de Cartier Diamond Ring – Iconic Maison Creation,Gold/Diamonds,31750,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,1895 Round 2 Carat Brilliant Diamond Stud Earrings,Platinum/Diamonds,62400,20% Off,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Panthère Rose Gold Wristwatch,Rose Gold,52250,,Free Shipping,1stDibs,2026-01-23,Set
Cartier,Jewelry,Pluie de Cartier 26.00 carat Diamond Platinum Necklace,Platinum/Diamonds,145000,,Sponsored,1stDibs,2026-01-23,
Cartier,Jewelry,Platinum Diamond Necklace 60.00ct D/VVS,Platinum/Diamonds,277128,,Sponsored,1stDibs,2026-01-23,
Cartier,Jewelry,5.45 Carat Pear-Shaped Diamond Platinum Ring,Platinum/Diamonds,183920,20% Off,Sponsored,1stDibs,2026-01-23,
Cartier,Jewelry,Paris Mini Tank Pavé 18ct Yellow Gold diamonds c1985,Yellow Gold/Diamonds,27533,,Free Shipping,1stDibs,2026-01-23,Vintage
Cartier,Jewelry,18K White Gold Multirow Lignes Essentielles Ring,White Gold,92000,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,18K Gold Nouvelle Vague EU 53 Lapis Lazuli And Diamond Ring,Gold/Lapis/Diamonds,86600,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,18 Karat Yellow Gold Indomptables De Cartier Bracelet,Yellow Gold,90000,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Tennis 5.90 Carat Diamond Necklace,Gold/Diamonds,54400,20% Off,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Panthère de Cartier Diamond Emerald & Lacquer Ring,Gold/Diamonds/Emerald,75000,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,1895 Solitaire Diamond Engagement Ring,Platinum/Diamond,22400,20% Off,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Essential Lines 18K White Gold 10.09ct Diamond Necklace,White Gold/Diamonds,49000,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Mystery Set Diamond Bracelet,Gold/Diamonds,145000,,,1stDibs,2026-01-23,
Cartier,Jewelry,Germany 18K Yellow Gold Graduated Twisted Oval Link Necklace,Yellow Gold,30743,,In 2 Carts,1stDibs,2026-01-23,Popular
Cartier,Jewelry,Himalia Diamond Dangle Earrings,Gold/Diamonds,22500,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,E VVS2 Diamond Ring Platinum 950 GIA & Cartier Certificate,Platinum/Diamond,46400,20% Off,Free Shipping,1stDibs,2026-01-23,Certified
Cartier,Jewelry,Paris 18K Large and Dramatic Elongated Link Bracelet circa 1950,18K Gold,69950,,Sponsored,1stDibs,2026-01-23,Vintage
Cartier,Jewelry,18K Gold Diamond Curb Link Choker Necklace,18K Gold/Diamonds,35500,,Sponsored,1stDibs,2026-01-23,
Cartier,Jewelry,Platinum Vintage Diamond and Emerald Bracelet,Platinum/Diamonds/Emerald,275000,,Sponsored,1stDibs,2026-01-23,Vintage
Cartier,Jewelry,4 Carat Round Diamond Platinum Band Ring,Platinum/Diamond,34400,20% Off,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Panthère 107000M 18K yellow Gold Ladies Watch Box & Papers,Yellow Gold,23040,,Free Shipping,1stDibs,2026-01-23,With Box/Papers
Cartier,Jewelry,Maillon Panthère 18K White Gold Diamond Bracelet,White Gold/Diamonds,29500,,Free Shipping,1stDibs,2026-01-23,
Cartier,Jewelry,Antique 7.25 Ctw Sapphire & Diamond Horseshoe Pendant Paris,Gold/Sapphire/Diamonds,42000,,In 1 Cart,1stDibs,2026-01-23,Antique
Cartier,Jewelry,Byzantine Diamond Sapphire Ruby Emerald Yellow Gold Bangle,Yellow Gold/Gemstones,25900,,In 1 Cart,1stDibs,2026-01-23,
Cartier,Jewelry,LOVE Bracelet yellow gold pavé diamonds size 16,Yellow Gold/Diamonds,47340,,Free Shipping,1stDibs,2026-01-23,Iconic LOVE collection
Cartier,Jewelry,Panthère 18 Karat Yellow Gold Skeleton Ring,Yellow Gold,28050,,In 3 Carts,1stDibs,2026-01-23,Very Popular
