listing_id,brand_id,product_id,product_name,category,material,asking_price_usd,original_price_usd,discount_pct,condition,demand_score,source_platform,listing_url,seller_type,has_certification,has_box_papers,is_vintage,date_captured,date_listed,notes
1stdibs-cartier-001,cartier,,Panthère de Cartier Diamond Ring – Iconic Maison Creation,rings,Gold/Diamonds,31750,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-002,cartier,,1895 Round 2 Carat Brilliant Diamond Stud Earrings,earrings,Platinum/Diamonds,62400,,20,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-003,cartier,,Panthère Rose Gold Wristwatch,watches,Rose Gold,52250,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Set
1stdibs-cartier-004,cartier,,Pluie de Cartier 26.00 carat Diamond Platinum Necklace,necklaces,Platinum/Diamonds,145000,,,pre-owned,6,1stDibs,,dealer,false,false,false,2026-01-23,,Sponsored
1stdibs-cartier-005,cartier,,Platinum Diamond Necklace 60.00ct D/VVS,necklaces,Platinum/Diamonds,277128,,,pre-owned,6,1stDibs,,dealer,false,false,false,2026-01-23,,Sponsored
1stdibs-cartier-006,cartier,,5.45 Carat Pear-Shaped Diamond Platinum Ring,rings,Platinum/Diamonds,183920,,20,pre-owned,6,1stDibs,,dealer,false,false,false,2026-01-23,,Sponsored
1stdibs-cartier-007,cartier,,Paris Mini Tank Pavé 18ct Yellow Gold diamonds c1985,watches,Yellow Gold/Diamonds,27533,,,pre-owned,5,1stDibs,,dealer,false,false,true,2026-01-23,,Vintage
1stdibs-cartier-008,cartier,,18K White Gold Multirow Lignes Essentielles Ring,rings,White Gold,92000,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-009,cartier,,18K Gold Nouvelle Vague EU 53 Lapis Lazuli And Diamond Ring,rings,Gold/Lapis/Diamonds,86600,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-010,cartier,,18 Karat Yellow Gold Indomptables De Cartier Bracelet,bracelets,Yellow Gold,90000,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-011,cartier,,Tennis 5.90 Carat Diamond Necklace,necklaces,Gold/Diamonds,54400,,20,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-012,cartier,,Panthère de Cartier Diamond Emerald & Lacquer Ring,rings,Gold/Diamonds/Emerald,75000,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-013,cartier,,1895 Solitaire Diamond Engagement Ring,rings,Platinum/Diamond,22400,,20,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-014,cartier,,Essential Lines 18K White Gold 10.09ct Diamond Necklace,necklaces,White Gold/Diamonds,49000,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
1stdibs-cartier-015,cartier,,Mystery Set Diamond Bracelet,bracelets,Gold/Diamonds,145000,,,pre-owned,4,1stDibs,,dealer,false,false,false,2026-01-23,,
1stdibs-cartier-016,cartier,,Germany 18K Yellow Gold Graduated Twisted Oval Link Necklace,necklaces,Yellow Gold,30743,,,pre-owned,7,1stDibs,,dealer,false,false,false,2026-01-23,,In 2 Carts - Popular
1stdibs-cartier-017,cartier,,Himalia Diamond Dangle Earrings,earrings,Gold/Diamonds,22500,,,pre-owned,5,1stDibs,,dealer,false,false,false,2026-01-23,,Free Shipping
