brand,collection,product_name,material,reference,retail_price_usd,currency,category,source_url,date_captured,notes
David Yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,Sterling silver,N/A,325,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Entry level
David Yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,Sterling silver with 18K yellow gold,N/A,495,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Two-tone
David Yurman,DY Madison,Heart Toggle Chain Bracelet 3mm,Sterling silver with diamonds,N/A,995,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Diamond accent
David Yurman,DY Madison,Pave Toggle Chain Bracelet 3mm,18K yellow gold with diamonds,N/A,3250,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $3200-$3300
David Yurman,Micro Cable Flex,Heart Station Bracelet 2.6mm,Sterling silver with 14K yellow gold,N/A,395,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,
David Yurman,Micro Cable Flex,Bracelet 2.6mm,Sterling silver with 14K yellow gold,N/A,395,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,
David Yurman,Micro Cable Flex,X Bracelet 2.6mm,Sterling silver with 14K yellow gold,N/A,395,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,
David Yurman,Micro Cable Flex,Bracelet 2.6mm with Diamonds,Sterling silver with diamonds,N/A,495,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Diamond version
David Yurman,Micro Cablespira,Flex Bracelet 2.6mm,18K yellow gold,N/A,1750,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $1700-$1800
David Yurman,Classic Cablespira,Bracelet 3mm,18K yellow gold with diamonds,N/A,2550,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $2500-$2600
David Yurman,Cablespira,Flex Bracelet 4mm,18K yellow gold,N/A,3200,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $2800-$3600
David Yurman,Cablespira,Flex Bracelet 6mm,18K yellow gold,N/A,4600,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $4500-$4700
David Yurman,Sculpted Cable,Bangle Bracelet 4.6mm,18K yellow gold with diamonds,N/A,9900,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $9800-$10000
David Yurman,Sculpted Cable,Bangle Bracelet 6.2mm,18K yellow gold with diamonds,N/A,13200,USD,Bracelets,https://www.davidyurman.com/womens/bracelets.html,2026-01-23,Range $13000-$13400
