brand,collection,product_name,material,reference,retail_price_usd,currency,category,source_url,date_captured,notes
Tiffany & Co.,Tiffany T,T Smile Pendant Small,Yellow gold,N/A,1400,USD,Necklaces,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,
Tiffany & Co.,Tiffany T,T Wire Bracelet,Yellow gold,N/A,3500,USD,Bracelets,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,Test item from research
Tiffany & Co.,Tiffany T,T Narrow Wire Bracelet,Yellow gold,N/A,2500,USD,Bracelets,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,
Tiffany & Co.,Tiffany T,T Wire Ring,Yellow gold,N/A,1525,USD,Rings,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,
Tiffany & Co.,Tiffany T,T Smile Bracelet on Blue Cord with Diamonds,Rose gold diamonds,N/A,1050,USD,Bracelets,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,
Tiffany & Co.,Tiffany T,T Smile Medium Pendant with Diamonds,White gold diamonds,N/A,4200,USD,Necklaces,https://www.tiffany.com/jewelry/tiffany-t/,2026-01-23,
Tiffany & Co.,Tiffany HardWear,HardWear Medium Link Earrings,Yellow gold,N/A,3600,USD,Earrings,https://www.tiffany.com/jewelry/tiffany-hardwear/,2026-01-23,
Tiffany & Co.,Tiffany HardWear,HardWear Micro Link Bracelet,Yellow gold,N/A,4200,USD,Bracelets,https://www.tiffany.com/jewelry/tiffany-hardwear/,2026-01-23,
Tiffany & Co.,Tiffany HardWear,HardWear Small Link Bracelet,Sterling silver,N/A,1350,USD,Bracelets,https://www.tiffany.com/jewelry/tiffany-hardwear/,2026-01-23,
Tiffany & Co.,Tiffany Knot,Knot Pendant with Diamonds,Yellow gold diamonds,N/A,5900,USD,Necklaces,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Tiffany Knot,Knot Ring with Diamonds,Yellow gold diamonds,N/A,3200,USD,Rings,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Tiffany Lock,Lock Bangle with Half Pave Diamonds,Yellow and white gold diamonds,N/A,18500,USD,Bracelets,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Tiffany Lock,Lock Small Earrings with Diamonds,Yellow gold diamonds,N/A,5700,USD,Earrings,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Elsa Peretti,Open Heart Pendant 11mm,Yellow gold,N/A,1400,USD,Necklaces,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Elsa Peretti,Open Heart Earrings,Yellow gold,N/A,1100,USD,Earrings,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Tiffany 1837,Interlocking Circles Pendant Small,Sterling silver,N/A,625,USD,Necklaces,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Tiffany 1837,Interlocking Circles Chain Bracelet,Sterling silver,N/A,550,USD,Bracelets,https://www.tiffany.com/jewelry/,2026-01-23,
Tiffany & Co.,Paloma Picasso,Olive Leaf Vine Pendant,Yellow gold,N/A,1575,USD,Necklaces,https://www.tiffany.com/jewelry/,2026-01-23,
